method,difficulty_range,total,avg_length,pass@1,pass@2,pass@4,pass@8
Qwen3-Feb19-400,1-2,50,1090.5,0.9500,0.9550,0.9600,0.9600
Qwen3-Feb19-400,2-3,50,7595.4,0.8350,0.8700,0.9000,0.9400
Qwen3-Feb19-400,3-4,50,12774.6,0.8725,0.9000,0.9100,0.9200
Qwen3-Feb19-400,4-5,50,25627.7,0.8050,0.8350,0.8500,0.8600
Qwen3-Feb19-400,5-6,50,30129.5,0.7500,0.8000,0.8300,0.8400
Qwen3-Feb19-400,6-7,50,41157.6,0.6825,0.7450,0.7900,0.8400
Qwen3-Feb19-400,7-8,50,47480.1,0.6025,0.6650,0.7000,0.7400
Qwen3-Feb19-400,8-9,50,47831.8,0.5925,0.6750,0.7500,0.8000
Qwen3-Feb19-400,9-10,50,53835.0,0.6300,0.7100,0.7600,0.7800
Qwen3-Feb19-400,overall,450,29724.7,0.7467,0.7950,0.8278,0.8533
Qwen3-Feb24-400,1-2,50,4765.5,0.9325,0.9500,0.9600,0.9600
Qwen3-Feb24-400,2-3,50,16751.9,0.8350,0.8550,0.8600,0.9000
Qwen3-Feb24-400,3-4,50,25534.5,0.8975,0.9100,0.9200,0.9200
Qwen3-Feb24-400,4-5,50,40481.8,0.8325,0.8750,0.8900,0.9000
Qwen3-Feb24-400,5-6,50,43094.5,0.7525,0.8250,0.8500,0.8800
Qwen3-Feb24-400,6-7,50,56973.3,0.6875,0.7600,0.7900,0.8200
Qwen3-Feb24-400,7-8,50,61620.8,0.5925,0.6350,0.6600,0.7200
Qwen3-Feb24-400,8-9,50,64209.4,0.6050,0.6600,0.7000,0.7600
Qwen3-Feb24-400,9-10,50,66063.9,0.6350,0.7200,0.7600,0.8000
Qwen3-Feb24-400,overall,450,42166.2,0.7522,0.7989,0.8211,0.8511
Qwen3-mae,1-2,50,3817.3,0.9300,0.9500,0.9600,0.9800
Qwen3-mae,2-3,50,12887.0,0.8600,0.8950,0.9200,0.9200
Qwen3-mae,3-4,50,21322.8,0.8850,0.9050,0.9200,0.9200
Qwen3-mae,4-5,50,34084.1,0.8200,0.8550,0.8800,0.9000
Qwen3-mae,5-6,50,38071.7,0.7575,0.8200,0.8600,0.8800
Qwen3-mae,6-7,50,50386.7,0.6800,0.7400,0.7900,0.8400
Qwen3-mae,7-8,50,56670.4,0.6300,0.6950,0.7400,0.7600
Qwen3-mae,8-9,50,59458.8,0.6075,0.6750,0.7400,0.8000
Qwen3-mae,9-10,50,63007.4,0.6275,0.7000,0.7500,0.8000
Qwen3-mae,overall,450,37745.1,0.7553,0.8039,0.8400,0.8667
Qwen3-Mar41-400,1-2,50,1519.8,0.9325,0.9400,0.9500,0.9600
Qwen3-Mar41-400,2-3,50,4751.9,0.7600,0.8050,0.8400,0.8800
Qwen3-Mar41-400,3-4,50,6471.4,0.8100,0.8900,0.9200,0.9200
Qwen3-Mar41-400,4-5,50,9561.8,0.7000,0.7650,0.8200,0.9000
Qwen3-Mar41-400,5-6,50,11379.5,0.5675,0.6500,0.7200,0.8000
Qwen3-Mar41-400,6-7,50,16296.6,0.5025,0.6000,0.6900,0.7400
Qwen3-Mar41-400,7-8,50,17507.7,0.5000,0.6200,0.7200,0.8200
Qwen3-Mar41-400,8-9,50,18387.6,0.4725,0.5700,0.6700,0.7800
Qwen3-Mar41-400,9-10,50,21319.8,0.4925,0.5950,0.6900,0.7400
Qwen3-Mar41-400,overall,450,11910.7,0.6375,0.7150,0.7800,0.8378
Qwen3-30B-baseline,1-2,50,6286.2,0.9250,0.9300,0.9400,0.9400
Qwen3-30B-baseline,2-3,50,21382.9,0.8800,0.9000,0.9200,0.9600
Qwen3-30B-baseline,3-4,50,28988.3,0.8875,0.9050,0.9200,0.9200
Qwen3-30B-baseline,4-5,50,42085.0,0.8425,0.8750,0.9000,0.9400
Qwen3-30B-baseline,5-6,50,44615.7,0.7850,0.8150,0.8400,0.8400
Qwen3-30B-baseline,6-7,50,56879.1,0.6600,0.7350,0.8000,0.8000
Qwen3-30B-baseline,7-8,50,62232.7,0.6300,0.6800,0.7300,0.7800
Qwen3-30B-baseline,8-9,50,65716.7,0.6175,0.6650,0.7300,0.7600
